age,annual_income,monthly_expenses,employment_status,contract_type,existing_debt,requested_amount,term_months,credit_score,num_dependents,has_property,previous_defaults,debt_to_income_ratio,loan_to_income_ratio,loan_approved,max_loan_amount
58,31965.06,1563.18,self_employed,contract,2136.77,89328.97,12,702,0,0,0,0.6002,2.7946,1,10068.99
48,47285.43,1190.33,employed,temporary,10513.91,177999.41,84,551,0,0,1,0.3465,3.7644,0,4378.56
34,28162.13,1024.04,self_employed,permanent,2548.17,104915.02,120,374,1,1,3,0.4544,3.7254,0,448.16
62,6034.12,225.59,unemployed,temporary,1535.84,3665.39,24,411,2,0,2,0.4995,0.6074,0,234.43
27,19224.08,917.74,part_time,permanent,7208.57,31875.7,84,659,4,1,0,0.6479,1.6581,1,3460.33
40,44926.57,1757.93,employed,freelance,14128.48,37741.42,84,467,4,1,0,0.5324,0.8401,0,1050.39
58,45753.11,1147.37,retired,permanent,4999.24,166052.12,36,549,1,0,1,0.3228,3.6293,0,1914.4
38,16702.38,560.54,part_time,temporary,1983.3,67638.7,24,512,2,1,0,0.4265,4.0496,0,393.17
42,27814.92,1110.67,part_time,freelance,770.9,38345.15,24,742,2,0,0,0.4847,1.3786,1,5841.13
30,58180.17,2400.41,self_employed,contract,6652.74,135650.62,60,345,1,1,2,0.518,2.3316,0,1925.07
30,73623.64,3387.15,self_employed,permanent,2727.75,170359.26,60,317,0,0,0,0.5595,2.3139,1,4969.6
43,86362.69,2253.9,employed,permanent,17253.49,432583.19,12,649,1,0,0,0.3531,5.0089,1,38060.04
55,448.22,21.78,unemployed,contract,127.0,1000.0,36,519,5,1,1,0.6398,2.231,0,244.25
59,72525.13,1636.04,self_employed,permanent,21791.8,254978.61,48,697,2,0,0,0.3308,3.5157,1,55220.63
43,106170.18,5258.23,self_employed,contract,2528.09,500000.0,48,397,1,1,0,0.5991,4.7094,0,1307.27
22,67338.58,3087.58,employed,contract,9156.86,340913.69,24,304,2,1,0,0.5774,5.0627,0,1255.74
41,3322.45,133.2,unemployed,contract,382.97,13841.7,84,458,2,0,0,0.5041,4.1661,0,194.68
21,32714.2,1382.85,retired,permanent,1364.84,70250.56,12,386,2,0,0,0.5156,2.1474,0,351.64
43,72414.61,1662.17,employed,contract,10499.29,364010.59,84,419,2,1,0,0.3044,5.0268,1,25495.74
63,50960.04,1123.32,retired,temporary,6101.35,233494.48,36,742,2,1,0,0.2885,4.5819,1,63374.92
49,28901.31,687.89,self_employed,contract,7335.14,126431.1,48,471,4,1,0,0.3364,4.3746,1,7659.77
57,20646.94,482.75,retired,permanent,7295.0,17969.95,24,534,1,1,0,0.3512,0.8703,1,3871.05
21,52877.83,1945.83,employed,permanent,9620.42,39021.56,12,777,2,0,0,0.478,0.738,1,23795.02
40,47802.88,1296.28,employed,permanent,14277.1,206723.99,36,420,1,0,0,0.3851,4.3245,0,2266.62
52,18093.41,830.9,part_time,permanent,1056.73,103066.78,84,796,2,1,1,0.5628,5.6964,0,694.44
31,47169.85,1595.96,employed,temporary,16886.17,224315.35,24,721,3,1,2,0.4776,4.7555,0,6565.12
41,25245.53,1038.07,retired,freelance,1540.93,128073.49,24,434,1,1,0,0.5056,5.0731,0,528.34
63,42184.32,1682.12,employed,permanent,3241.46,147535.55,120,614,1,0,0,0.4939,3.4974,1,6327.65
44,113725.64,3430.24,self_employed,contract,4843.07,247378.72,84,368,1,0,0,0.3705,2.1752,0,7835.66
68,42930.42,1198.86,employed,permanent,5317.87,181490.62,12,497,1,1,0,0.3599,4.2276,1,10826.19
46,44418.36,1369.05,self_employed,permanent,9814.87,196144.36,12,310,3,1,0,0.4141,4.4158,0,1454.57
61,48544.61,2139.32,employed,permanent,19184.72,204589.75,12,429,0,1,0,0.6079,4.2145,0,1896.82
47,86315.82,3274.22,employed,permanent,27392.08,492595.74,12,409,1,0,0,0.5187,5.7069,0,3069.25
35,76564.28,2161.27,employed,freelance,11651.12,192902.53,36,326,4,0,0,0.3692,2.5195,0,3317.44
34,78433.47,3504.97,employed,permanent,18066.24,56324.37,12,699,0,1,1,0.5823,0.7181,0,5005.62
66,14409.44,323.21,part_time,temporary,3592.61,79200.68,12,619,0,1,2,0.319,5.4964,0,1719.36
63,31235.13,1287.71,part_time,permanent,10279.2,43190.22,12,493,0,0,0,0.5605,1.3827,0,694.79
22,57450.62,1932.66,employed,freelance,16923.84,249062.85,120,645,4,1,2,0.4626,4.3353,0,1709.85
56,3153.88,132.98,unemployed,permanent,718.19,16723.84,36,315,0,0,0,0.5515,5.3026,0,148.99
26,66666.25,3192.27,employed,permanent,17844.77,147050.93,48,372,0,0,1,0.6281,2.2058,0,888.42
40,103107.38,4403.65,self_employed,permanent,30763.84,500000.0,24,500,1,1,0,0.5722,4.8493,1,8351.7
28,46810.13,1578.62,retired,permanent,2493.0,108895.33,60,463,2,0,0,0.4153,2.3263,1,4163.06
58,32469.94,819.44,part_time,permanent,2603.51,158077.26,84,306,2,1,0,0.3189,4.8684,1,6350.73
37,86047.27,3816.36,employed,contract,23700.32,76071.31,120,360,0,0,0,0.5873,0.8841,0,734.76
23,26810.52,918.81,retired,temporary,9120.14,110025.99,24,651,4,0,0,0.4793,4.1038,0,1984.19
44,58312.18,1342.93,employed,temporary,9545.99,246325.78,36,784,0,1,1,0.3091,4.2243,1,120223.39
33,12336.46,515.74,part_time,temporary,4835.35,39511.73,84,750,0,1,0,0.5801,3.2028,1,3997.01
69,83362.69,2446.34,employed,permanent,7204.93,356708.93,12,713,1,1,0,0.3694,4.279,1,91452.21
28,39684.35,883.34,self_employed,permanent,6614.58,221339.87,36,330,2,1,0,0.3004,5.5775,0,5737.44
45,106840.11,5038.96,self_employed,freelance,16176.58,484648.27,120,390,1,1,1,0.5962,4.5362,0,2978.21
21,56291.8,1965.92,self_employed,contract,20947.21,325767.86,120,817,4,1,1,0.4935,5.7871,1,27357.81
39,55247.35,1603.72,employed,freelance,6306.56,163939.2,48,745,2,0,0,0.3712,2.9674,1,49811.01
47,12900.04,538.29,part_time,contract,2429.29,43932.36,60,584,3,0,0,0.5384,3.4056,0,62.79
66,52978.33,2472.61,employed,permanent,3967.73,103337.56,48,692,0,1,3,0.575,1.9506,0,3773.38
